Jumlah Pengangguran terbuka (Ribu Jiwa);TPAK (persen);RLS (tahun);IKK (poin)
210.186;64.67;8.39;0.26
107.55;69.74;7.34;0.2
84.781;68.88;7.33;0.41
121.455;67;9.15;0.09
100.108;68.29;7.85;0.29
38.326;69.23;7.97;0.15
22.974;66.15;8.1;0.2
48.106;69.34;7.9;0.53
84.993;69.28;7.65;0.36
29.644;72.55;7.53;0.45
39.816;65.37;8.74;0.45
62.022;65.07;6.95;0.54
63.26;68.91;7.46;0.46
38.852;66.25;8.14;0.35
100.404;65.13;8.05;0.28
142.818;64.33;9.76;0.17
65.609;70.57;8.24;0.23
4.38;79.13;8.1;0.29
45.702;65.18;10.71;0.24
14.547;65.73;10.38;0.18
100.31;68.13;11.07;0.14
11.486;69.02;10.53;0.25
105.565;64.1;11.79;0.21
65.742;62;11.59;0.07
27.979;67.06;11.52;0.21
25.644;66.31;9.63;0.26
5.967;69.86;8.83;0.29
53.743;66.92;7.16;0.35
49.003;72.82;6.61;0.23
102.51;65.88;9.06;0.34
79.521;67.77;7.88;0.2
58.613;66.02;11.14;0.07
12.421;60.83;10.39;0.16
26.686;69.1;8.39;0.05
32.257;58.13;11.86;0.25
