Kabupaten/Kota;Jumlah Kematian Neonatal;Persentase Penduduk Miskin;Persentase Penduduk yang Tidak Memiliki Jaminan Kesehatan;Persentase Rumah Tangga yang Menggunakan Sumber Air Minum Bersih;Persentase Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak;Jumlah Bayi Lahir;Jumlah Bayi Berat Badan Lahir Rendah;Persentase Rumah Tangga yang Menempati Rumah Layak Huni
Kab.Cilacap;92;10.68;36.58;77.03;83.25;31686;1013;60.7
Kab.Banyumas;172;11.95;20.55;74.36;83.25;28046;1786;67
Kab.Purbalingga;117;14.18;21.01;72.56;82.01;16548;1120;63.31
Kab.Banjarnegara;87;14.71;41.51;80.25;52.4;16815;749;42.77
Kab.Kebumen;109;15.71;29.1;68.69;93.43;22807;1086;74.13
Kab.Purworejo;64;10.87;28.73;76.61;84.64;11582;418;72.17
Kab.Wonosobo;104;15.28;37.96;82.99;63.81;15075;557;52.19
Kab.Magelang;116;10.83;33.71;76.87;83.77;20062;808;69.31
Kab.Boyolali;141;9.63;27.99;80.77;88.26;16658;514;72.51
Kab.Klaten;124;12.04;18.64;76.11;97.86;17114;845;94.38
Kab.Sukoharjo;82;7.47;21.67;85.57;97.08;13157;457;92.16
Kab.Wonogiri;97;10.71;32.03;83.38;96.25;13425;373;89.08
Kab.Karanganyar;80;9.59;26.95;88.91;98.54;12869;618;94.06
Kab.Sragen;99;12.41;37.69;94.25;95.71;14107;258;81.04
Kab.Grobogan;181;11.43;41.07;91.85;93.94;24036;600;56.8
Kab.Blora;105;11.42;37.03;94.18;90.81;12994;458;53.88
Kab.Rembang;95;14.02;18.5;92.34;94.89;9635;429;75.99
Kab.Pati;124;9.17;28.08;86.26;96.33;18576;601;82.88
Kab.Kudus;61;7.23;19.63;87.84;95.9;13239;707;91.6
Kab.Jepara;75;6.09;36.42;81.23;68.05;18836;646;55.53
Kab.Demak;122;11.89;22.34;92.57;95.13;19664;857;80.32
Kab.Semarang;113;6.96;6.58;83.38;86.32;16230;234;75.02
Kab.Temanggung;71;8.67;41.46;81.85;71.77;11720;90;60.86
Kab.Kendal;104;9.35;31.81;85.29;83.05;15753;558;69.11
Kab.Batang;91;8.73;33.33;82.99;65.92;13297;341;55.87
Kab.Pekalongan;83;8.95;27.63;77.38;82.61;17281;889;76.59
Kab.Pemalang;102;14.92;32.95;82.08;84.32;26265;904;67.83
Kab.Tegal;106;6.81;35.27;81.45;87.09;27383;1083;78.83
Kab.Brebes;176;15.6;26.07;79.17;85.85;33223;795;74.85
Kota Magelang;10;5.94;2.74;95.8;88.55;1600;37;78.27
Kota Surakarta;38;8.31;4.19;86.14;85.07;6897;232;73.15
Kota Salatiga;17;4.57;5.82;91.48;96.28;3052;65;85.06
Kota Semarang;112;4.03;5.94;97.58;95.83;22534;414;67.41
Kota Pekalongan;18;6.71;18.23;75.74;89.38;5313;239;82.05
Kota Tegal;25;7.64;13.67;99.44;92.48;4591;310;85.89
